"scenario","method","prior","alpha","threshold","n_sightings","final_probability","date_error","absolute_date_error","no_threshold_crossing"
"increasing observation effort","Solow","later_beta_2_1",1,0.5,8.8,0.112738839354918,4.725,4.725,0
"increasing observation effort","Effort_fixed_alpha","uniform",1.5,0.5,8.51351351351351,0.0558812827527239,4.81081081081081,4.81081081081081,0
"increasing observation effort","Solow","uniform",1,0.6,8.8,0.142989871630262,5.3,5.3,0
"increasing observation effort","Effort_fixed_alpha","uniform",1.2,0.5,8.51351351351351,0.100932432733411,5.89189189189189,5.89189189189189,0
"increasing observation effort","Solow","later_beta_2_1",1,0.4,8.94871794871795,0.105283200060751,6.20512820512821,6.20512820512821,0
"increasing observation effort","Solow","uniform",1,0.5,8.8,0.142989871630262,6.9,6.9,0
"increasing observation effort","Effort_fixed_alpha","uniform",1,0.5,8.51351351351351,0.152824057236251,7.13513513513514,7.13513513513514,0
"increasing observation effort","Solow","later_beta_2_1",1,0.3,9.24324324324324,0.092235445105681,7.78378378378378,7.78378378378378,0
"increasing observation effort","Effort_fixed_alpha","uniform",0.8,0.5,8.8,0.214296296725599,8.05714285714286,8.05714285714286,0
"increasing observation effort","Solow","uniform",1,0.4,9.07894736842105,0.125529841452538,8.21052631578947,8.21052631578947,0
"increasing observation effort","Solow","earlier_beta_1_2",1,0.6,9.07894736842105,0.173546018556071,8.26315789473684,8.26315789473684,0
"increasing observation effort","Solow","earlier_beta_1_2",1,0.5,9.18918918918919,0.164292571303901,9.35135135135135,9.35135135135135,0
"increasing observation effort","Solow","uniform",1,0.3,9.36111111111111,0.111023946829492,9.55555555555556,9.55555555555556,0
"increasing observation effort","Effort_fixed_alpha","uniform",0.6,0.5,9.09090909090909,0.315322253358334,10,10,0
"increasing observation effort","Solow","earlier_beta_1_2",1,0.4,9.55882352941176,0.139429560659766,10.1470588235294,10.1470588235294,0
"increasing observation effort","Solow","earlier_beta_1_2",1,0.3,9.83870967741935,0.120725419594814,11.1290322580645,11.1290322580645,0
