"experiment","scenario","replicate","method","true_year","n_sightings","last_sighting","final_probability","estimated_year","date_error","absolute_date_error","no_threshold_crossing"
"extinction","constant observation effort",53,"Solow",2005,6,2004,0.296558457404214,2015,10,10,FALSE
"extinction","constant observation effort",53,"Kodikara",2005,6,2004,NA,NA,NA,NA,TRUE
"extinction","constant observation effort",53,"Effort_fixed_alpha",2005,6,2004,NA,NA,NA,NA,TRUE
"extinction","constant observation effort",54,"Solow",2005,3,1983,0.0111870727107323,1986,-19,19,FALSE
"extinction","constant observation effort",54,"Kodikara",2005,3,1983,0.123788237129238,1985,-20,20,FALSE
"extinction","constant observation effort",54,"Effort_fixed_alpha",2005,3,1983,0.0111870727159726,1986,-19,19,FALSE
"extinction","constant observation effort",55,"Solow",2005,2,2001,0.524999999520004,NA,NA,NA,TRUE
"extinction","constant observation effort",55,"Kodikara",2005,2,2001,0.304145472374557,2010,5,5,FALSE
"extinction","constant observation effort",55,"Effort_fixed_alpha",2005,2,2001,0.525,NA,NA,NA,TRUE
"extinction","constant observation effort",56,"Solow",2005,4,2000,0.30000000016619,2012,7,7,FALSE
"extinction","constant observation effort",56,"Kodikara",2005,4,2000,0.370350994888934,2013,8,8,FALSE
"extinction","constant observation effort",56,"Effort_fixed_alpha",2005,4,2000,0.3,2012,7,7,FALSE
"extinction","constant observation effort",57,"Solow",2005,5,2002,0.287186830322261,2013,8,8,FALSE
"extinction","constant observation effort",57,"Kodikara",2005,5,2002,NA,NA,NA,NA,TRUE
"extinction","constant observation effort",57,"Effort_fixed_alpha",2005,5,2002,NA,NA,NA,NA,TRUE
"extinction","constant observation effort",58,"Solow",2005,3,2001,0.432141107079679,2017,12,12,FALSE
"extinction","constant observation effort",58,"Kodikara",2005,3,2001,0.489791166631929,2020,15,15,FALSE
"extinction","constant observation effort",58,"Effort_fixed_alpha",2005,3,2001,0.432141107300343,2017,12,12,FALSE
"extinction","constant observation effort",59,"Solow",2005,6,2004,0.296558457404214,2015,10,10,FALSE
"extinction","constant observation effort",59,"Kodikara",2005,6,2004,0.26451716268488,2013,8,8,FALSE
"extinction","constant observation effort",59,"Effort_fixed_alpha",2005,6,2004,0.29655845740786,2015,10,10,FALSE
"extinction","constant observation effort",60,"Solow",2005,2,1993,0.3249999999801,2007,2,2,FALSE
"extinction","constant observation effort",60,"Kodikara",2005,2,1993,0.470122277460882,2015,10,10,FALSE
"extinction","constant observation effort",60,"Effort_fixed_alpha",2005,2,1993,0.325,2006,1,1,FALSE
"extinction","constant observation effort",61,"Solow",2005,4,2004,0.452513966691796,2019,14,14,FALSE
"extinction","constant observation effort",61,"Kodikara",2005,4,2004,0.456934699819538,2018,13,13,FALSE
"extinction","constant observation effort",61,"Effort_fixed_alpha",2005,4,2004,0.452513966480447,2019,14,14,FALSE
"extinction","constant observation effort",62,"Solow",2005,4,2001,0.336673856661248,2014,9,9,FALSE
"extinction","constant observation effort",62,"Kodikara",2005,4,2001,0.220326511848441,2010,5,5,FALSE
"extinction","constant observation effort",62,"Effort_fixed_alpha",2005,4,2001,0.336673856668525,2014,9,9,FALSE
"extinction","constant observation effort",63,"Solow",2005,6,2004,0.296558457404214,2015,10,10,FALSE
"extinction","constant observation effort",63,"Kodikara",2005,6,2004,0.522131836804521,NA,NA,NA,TRUE
"extinction","constant observation effort",63,"Effort_fixed_alpha",2005,6,2004,0.29655845740786,2015,10,10,FALSE
"extinction","constant observation effort",64,"Solow",2005,3,1993,0.191068400111455,2003,-2,2,FALSE
"extinction","constant observation effort",64,"Kodikara",2005,3,1993,0.0215952659340293,1996,-9,9,FALSE
"extinction","constant observation effort",64,"Effort_fixed_alpha",2005,3,1993,0.191068400226116,2003,-2,2,FALSE
"extinction","constant observation effort",65,"Solow",2005,2,1996,0.399999999364327,2013,8,8,FALSE
"extinction","constant observation effort",65,"Kodikara",2005,2,1996,0.427300574136649,2012,7,7,FALSE
"extinction","constant observation effort",65,"Effort_fixed_alpha",2005,2,1996,0.4,2012,7,7,FALSE
"extinction","constant observation effort",66,"Solow",2005,6,1999,0.11024051988071,2008,3,3,FALSE
"extinction","constant observation effort",66,"Kodikara",2005,6,1999,0.125197800196978,2007,2,2,FALSE
"extinction","constant observation effort",66,"Effort_fixed_alpha",2005,6,1999,0.110240519881341,2008,3,3,FALSE
"extinction","constant observation effort",67,"Solow",2005,3,2001,0.432141107079679,2017,12,12,FALSE
"extinction","constant observation effort",67,"Kodikara",2005,3,2001,0.084146976805648,2006,1,1,FALSE
"extinction","constant observation effort",67,"Effort_fixed_alpha",2005,3,2001,0.432141107300343,2017,12,12,FALSE
"extinction","constant observation effort",68,"Solow",2005,2,1999,0.474999999934083,2019,14,14,FALSE
"extinction","constant observation effort",68,"Kodikara",2005,2,1999,0.0843014819256843,2003,-2,2,FALSE
"extinction","constant observation effort",68,"Effort_fixed_alpha",2005,2,1999,0.475,2018,13,13,FALSE
"extinction","constant observation effort",69,"Solow",2005,2,1995,0.374999999608289,2011,6,6,FALSE
"extinction","constant observation effort",69,"Kodikara",2005,2,1995,0.326806129427536,2006,1,1,FALSE
"extinction","constant observation effort",69,"Effort_fixed_alpha",2005,2,1995,0.375,2010,5,5,FALSE
"extinction","constant observation effort",70,"Solow",2005,2,1985,0.124999999976716,1991,-14,14,FALSE
"extinction","constant observation effort",70,"Kodikara",2005,2,1985,0.266289631386851,1990,-15,15,FALSE
"extinction","constant observation effort",70,"Effort_fixed_alpha",2005,2,1985,0.124999999995856,1990,-15,15,FALSE
"extinction","constant observation effort",71,"Solow",2005,4,2002,0.374507597278777,2015,10,10,FALSE
"extinction","constant observation effort",71,"Kodikara",2005,4,2002,0.312023945763319,2013,8,8,FALSE
"extinction","constant observation effort",71,"Effort_fixed_alpha",2005,4,2002,0.37450759707372,2015,10,10,FALSE
"extinction","constant observation effort",72,"Solow",2005,3,1996,0.275862068888683,2008,3,3,FALSE
"extinction","constant observation effort",72,"Kodikara",2005,3,1996,0.238120962698971,2005,0,0,FALSE
"extinction","constant observation effort",72,"Effort_fixed_alpha",2005,3,1996,0.275862068965517,2008,3,3,FALSE
"extinction","constant observation effort",73,"Solow",2005,9,2004,0.120233099376469,2012,7,7,FALSE
"extinction","constant observation effort",73,"Kodikara",2005,9,2004,0.0758721939283639,2010,5,5,FALSE
"extinction","constant observation effort",73,"Effort_fixed_alpha",2005,9,2004,0.120233099378768,2012,7,7,FALSE
"extinction","constant observation effort",74,"Solow",2005,4,1996,0.170212766069625,2006,1,1,FALSE
"extinction","constant observation effort",74,"Kodikara",2005,4,1996,0.353860011499249,2009,4,4,FALSE
"extinction","constant observation effort",74,"Effort_fixed_alpha",2005,4,1996,0.170212765957447,2006,1,1,FALSE
"extinction","constant observation effort",75,"Solow",2005,5,2004,0.373271889406011,2016,11,11,FALSE
"extinction","constant observation effort",75,"Kodikara",2005,5,2004,NA,NA,NA,NA,TRUE
"extinction","constant observation effort",75,"Effort_fixed_alpha",2005,5,2004,NA,NA,NA,NA,TRUE
"extinction","constant observation effort",76,"Solow",2005,2,1994,0.350000017197121,2009,4,4,FALSE
"extinction","constant observation effort",76,"Kodikara",2005,2,1994,0.13611658964534,1999,-6,6,FALSE
"extinction","constant observation effort",76,"Effort_fixed_alpha",2005,2,1994,0.35,2008,3,3,FALSE
"extinction","constant observation effort",77,"Solow",2005,4,1997,0.199645111599584,2007,2,2,FALSE
"extinction","constant observation effort",77,"Kodikara",2005,4,1997,0.0352220590175725,2002,-3,3,FALSE
"extinction","constant observation effort",77,"Effort_fixed_alpha",2005,4,1997,0.199645111478341,2007,2,2,FALSE
"extinction","constant observation effort",78,"Solow",2005,5,2004,0.373271889406011,2016,11,11,FALSE
"extinction","constant observation effort",78,"Kodikara",2005,5,2004,NA,NA,NA,NA,TRUE
"extinction","constant observation effort",78,"Effort_fixed_alpha",2005,5,2004,NA,NA,NA,NA,TRUE
"extinction","constant observation effort",79,"Solow",2005,5,1998,0.146057222978954,2007,2,2,FALSE
"extinction","constant observation effort",79,"Kodikara",2005,5,1998,0.290113242748222,2009,4,4,FALSE
"extinction","constant observation effort",79,"Effort_fixed_alpha",2005,5,1998,0.14605722299828,2007,2,2,FALSE
"extinction","constant observation effort",80,"Solow",2005,3,1996,0.275862068888683,2008,3,3,FALSE
"extinction","constant observation effort",80,"Kodikara",2005,3,1996,0.285616580145597,2006,1,1,FALSE
"extinction","constant observation effort",80,"Effort_fixed_alpha",2005,3,1996,0.275862068965517,2008,3,3,FALSE
"extinction","increasing observation effort",1,"Solow",2005,11,2004,0.0573454613154728,2011,6,6,FALSE
"extinction","increasing observation effort",1,"Kodikara",2005,11,2004,0.024690116890291,2009,4,4,FALSE
"extinction","increasing observation effort",1,"Effort_fixed_alpha",2005,11,2004,0.00126730146582542,2009,4,4,FALSE
"extinction","increasing observation effort",2,"Solow",2005,6,2003,0.25113443034043,2013,8,8,FALSE
